Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2021,Hyundai i20 Asta Opt Diesel,"35,040",Diesel,Manual,8.05,"University, Kolkata"
2015,Honda City i VTEC SV,"50,000",Petrol,Manual,3.50,"Kalighat, Kolkata"
2019,Mercedes-Benz GLA Class 200 d Sport,"15,600",Diesel,Automatic,20.95,"Salt Lake City, Kolkata"
2023,Porsche Cayenne Base,"12,500",Petrol,Automatic,1.39 Crore,"Ballygunge RS, Kolkata"
2022,Renault Triber RXT,"5,101",Petrol,Manual,6.19,"Airport Po, Kolkata"
2014,Honda Amaze S i-Vtech,"65,000",Petrol,Manual,2.85,"Ballygunge, Kolkata"
2015,Maruti Baleno Alpha Diesel,"44,963",Diesel,Manual,4.44,"Airport Po, Kolkata"
2021,Maruti S-Presso VXI 2019-2022,"32,330",Petrol,Manual,3.65,"University, Kolkata"
2017,Maruti Alto K10 VXI,"12,521",Petrol,Manual,2.80,"University, Kolkata"
2020,Tata Harrier XZ Plus BSVI,"27,601",Diesel,Manual,11.50,"Vaishya Sabha, Kolkata"
2021,Tata Altroz XZ BSVI,"12,137",Petrol,Manual,5.95,"Kasba, Kolkata"
2022,Maruti Wagon R VXI CNG,"15,900",CNG,Manual,5.78,"Kankurgachi, Kolkata"
2022,Mercedes-Benz AMG GLA 35 4MATIC BSVI,"20,500",Petrol,Automatic,44,"Salt Lake City, Kolkata"
2020,Hyundai Venue S,"27,146",Petrol,Manual,6.38,"Airport Po, Kolkata"
2020,Volkswagen Polo 1.0 MPI Trendline,"21,842",Petrol,Manual,4.50,"Beleghata, Kolkata"
2021,MG Astor Smart BSVI,"28,000",Petrol,Manual,10.90,"Ballygunge, Kolkata"
2021,Kia Sonet HTX Turbo iMT BSVI,"57,523",Petrol,Manual,7.50,"Salt Lake City, Kolkata"
2014,Maruti Swift VXI,"46,000",Petrol,Manual,3.25,"Parnasree Pally, Kolkata"
2020,Hyundai i20 Sportz BSVI,"22,000",Petrol,Manual,6.60,"Kasba, Kolkata"
2022,Maruti Swift VXI,"11,329",Petrol,Manual,5.58,"Airport Po, Kolkata"
2018,Maruti Celerio X VXI BSIV,"5,000",Petrol,Manual,4,"Jadavpur University, Kolkata"
2013,Maruti Swift VXI,"34,737",Petrol,Manual,3.05,"Kankurgachi, Kolkata"
2015,Hyundai Xcent 1.1 CRDi Base,"75,298",Diesel,Manual,2.69,"University, Kolkata"
2023,Volkswagen Virtus GT Plus DSG ES,"11,600",Petrol,Automatic,14.50,"Ballygunge Rs, Kolkata"
2022,Mahindra Bolero Neo N10 R BSVI,"62,000",Diesel,Manual,8.55,"Park Street Area, Kolkata"
2016,Mahindra XUV500 R W10 FWD,"89,999",Diesel,Manual,6,"Kankurgachi, Kolkata"
2011,Honda Jazz Basic,"49,000",Petrol,Manual,1.85,"Airport Po, Kolkata"
2020,Hyundai Venue S BSIV,"39,000",Petrol,Manual,5.95,"Kasba, Kolkata"
2022,Tata Nexon EV XZ Plus Dark Edition,"43,000",Electric,Automatic,8.98,"Kalighat, Kolkata"
2016,Hyundai Creta 1.6 CRDi SX Plus,"65,123",Diesel,Manual,6.25,"Alipore, Kolkata"
2021,Maruti S-Presso VXI,"12,229",Petrol,Manual,4.24,"Kankurgachi, Kolkata"
2022,Hyundai Venue SX Diesel BSVI,"26,000",Diesel,Manual,8.50,"Ballygunge, Kolkata"
2021,Hyundai i20 Sportz 1.2,"23,640",Petrol,Manual,6.20,"Airport Po, Kolkata"
2023,Mahindra XUV300 W8 Opt,"25,000",Petrol,Manual,8.99,"Salt Lake City, Kolkata"
2021,Hyundai i20 Magna BSVI,"11,166",Petrol,Manual,7.06,"Kolkatta GPO, Kolkata"
2016,Maruti Baleno Alpha Diesel,"89,423",Diesel,Manual,4.02,"Kankurgachi, Kolkata"
2023,Maruti Wagon R VXI,"36,000",Petrol,Manual,4.90,"Khardah, Kolkata"
2020,Tata Nexon EV XZ Plus LUX,"21,000",Electric,Automatic,9.50,"Salt Lake City, Kolkata"
2015,Maruti Baleno Alpha Diesel,"60,658",Diesel,Manual,4.16,"Airport Po, Kolkata"
2021,Renault Triber RXZ Dual Tone,"10,237",Petrol,Manual,6.68,"Airport Po, Kolkata"
2019,Honda Jazz VX,"33,000",Petrol,Manual,4.98,"Kasba, Kolkata"
2022,Hyundai Creta S Plus Knight BSVI,"25,000",Petrol,Manual,12.50,"Netaji Nagar, Kolkata"
2023,Kia Carens Luxury Plus iMT,"9,000",Petrol,Manual,14.50,"Ballygunge, Kolkata"
2022,Hyundai Creta SX BSVI,"25,373",Petrol,Manual,10.99,"University, Kolkata"
2022,Jaguar F-Pace 2.0 R-Dynamic S BSVI,"39,800",Petrol,Automatic,53.95,"Ballygunge RS, Kolkata"
2019,Kia Seltos GTX Plus,"47,000",Petrol,Manual,10.25,"Kalighat, Kolkata"
2021,Tata Tiago XZA Plus AMT BSVI,"25,361",Petrol,Automatic,5,"University, Kolkata"
2020,Kia Sonet HTX Diesel BSVI,"44,699",Diesel,Manual,7.90,"Vaishya Sabha, Kolkata"
2020,Kia Sonet HTX Diesel BSVI,"44,701",Diesel,Manual,7.89,"Kalikapur, Kolkata"
2022,Kia Sonet HTK Diesel BSVI,"16,000",Diesel,Manual,8.25,"Kasba, Kolkata"
2018,Honda WR-V i-VTEC VX,"48,792",Petrol,Manual,5.95,"Kasba, Kolkata"
2018,Maruti Vitara Brezza ZDi Plus,"56,133",Diesel,Manual,6.15,"Salt Lake City, Kolkata"
