Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2016,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"41,088",Petrol,Manual,4.46,"Vadapalani, Chennai"
2018,Maruti Celerio VXI AMT BSIV,"39,382",Petrol,Automatic,4.60,"Chromepet, Chennai"
2019,Maruti Baleno Alpha Diesel,"46,877",Diesel,Manual,6.59,"Airport, Chennai"
2022,Maruti S-Presso VXI CNG,"65,260",CNG,Manual,4.68,"Vadapalani, Chennai"
2016,Hyundai i20 Sportz 1.2,"93,319",Petrol,Manual,4.79,"Ganapathipuram, Chennai"
2014,Mercedes-Benz B Class B180 CDI,"75,241",Diesel,Automatic,11.99,"Thygaraya Nagar, Chennai"
2019,Hyundai Xcent 1.2 VTVT S,"44,255",Petrol,Manual,5.60,"Chromepet, Chennai"
2018,Renault KWID 1.0 AMT RXT,"57,196",Petrol,Automatic,3.39,"Vadapalani, Chennai"
2018,Maruti Celerio VXI AMT BSIV,"39,521",Petrol,Automatic,4.59,"Thygaraya Nagar, Chennai"
2021,Maruti S-Presso VXI 2019-2022,"72,361",Petrol,Manual,3.75,"Vadapalani, Chennai"
2023,Renault KWID 1.0 RXT AMT,"26,189",Petrol,Automatic,5.53,"Ganapathipuram, Chennai"
2017,Hyundai i20 Asta 1.2,"31,000",Petrol,Manual,5.90,"Medavakkam, Chennai"
2022,Hyundai Grand i10 Nios AMT Sportz,"37,059",Petrol,Automatic,6.83,"Ganapathipuram, Chennai"
2015,Hyundai Grand i10 AT Asta,"63,935",Petrol,Automatic,4.75,"Chromepet, Chennai"
2016,Maruti Ciaz ZXi,"51,756",Petrol,Manual,5.61,"Thiruverkadu, Chennai"
2021,Nissan Magnite Turbo XV,"35,620",Petrol,Manual,7.59,"Vadapalani, Chennai"
2018,Maruti Swift AMT ZXI,"50,729",Petrol,Automatic,5.68,"Airport, Chennai"
2018,Hyundai i20 1.2 Spotz,"59,000",Petrol,Manual,5.85,"Kovilambakkam, Chennai"
2013,Maruti Alto 800 LXI,"34,211",Petrol,Manual,2.10,"Vadapalani, Chennai"
2021,Hyundai i20 Asta IVT DT,"40,403",Petrol,Automatic,7.80,"Vadapalani, Chennai"
