Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2014,Maruti Celerio ZXI Optional,"48,000",Petrol,Manual,4.25,"Bommanahalli, Bangalore"
2022,Volkswagen Tiguan 2.0 TSI Elegance BSVI,"15,000",Petrol,Automatic,39,"Ramamurthy Nagar, Bangalore"
2018,Audi Q3 30 TFSI Premium FWD,"50,143",Petrol,Automatic,24.99,"BTM Layout, Bangalore"
2021,MG Astor Savvy CVT Red BSVI,"8,933",Petrol,Automatic,15.42,"Bellandur, Bangalore"
2016,Renault KWID 1.0 RXT,"58,000",Petrol,Manual,3.65,"Seshadripuram, Bangalore"
2014,Honda City i VTEC SV,"72,000",Petrol,Manual,5.75,"Bommanahalli, Bangalore"
2017,Audi Q7 45 TDI Quattro Premium Plus,"1,44,415",Diesel,Automatic,35.95,"City, Bangalore"
2022,Nissan Magnite XV Executive,"18,955",Petrol,Manual,6.82,"Mahadevapura, Bangalore"
2020,Hyundai Venue S Diesel,"24,000",Diesel,Manual,9.65,"Bommanahalli, Bangalore"
2014,Honda City SV MT,"67,875",Petrol,Manual,5,"Whitefield, Bangalore"
2012,Renault Fluence 2.0 E4,"93,000",Petrol,Automatic,3.75,"Nagadenahalli, Bangalore"
2015,Maruti Swift VXI,"58,000",Petrol,Manual,5.60,"R T Nagar, Bangalore"
2023,Maruti Baleno Alpha,"16,532",Petrol,Manual,9.40,"Marathahalli Colony, Bangalore"
2022,Kia Seltos GTX Plus,"18,460",Petrol,Manual,15.99,"Bellandur, Bangalore"
2023,MG Hector Plus Savvy Pro CVT 7 Str,"16,103",Petrol,Automatic,22.95,"City, Bangalore"
2020,Tata Nexon 1.2 Revotron XZ Plus,"34,019",Petrol,Manual,8.27,"Yeshwanthpur Bazar, Bangalore"
2023,Hyundai Grand i10 Nios Sportz,"8,560",Petrol,Manual,7.19,"Jakkur, Bangalore"
2022,Hyundai Venue SX Diesel BSVI,"20,433",Diesel,Manual,10.99,"Bellandur, Bangalore"
2024,Force Gurkha 2.6 Diesel,"2,100",Diesel,Manual,18.48,"Indiranagar, Bangalore"
2018,Honda City i-VTEC CVT VX,"71,696",Petrol,Automatic,7.61,"Magadi Road, Bangalore"
2017,Hyundai Grand i10 1.2 Kappa Magna BSIV,"38,790",Petrol,Manual,4.02,"Hoodi, Bangalore"
2020,Hyundai Grand i10 Nios Sportz,"38,000",Petrol,Manual,6.95,"City, Bangalore"
2020,Land Rover Range Rover Evoque 2.0 R-Dynamic SE Diesel,"32,000",Diesel,Automatic,53.95,"Indiranagar, Bangalore"
