Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2023,Kia Seltos HTK Plus,"46,743",Petrol,Manual,12.75,"City, Faridabad"
2023,Honda Amaze VX CVT BSVI,"30,386",Petrol,Automatic,8.10,"Raj Nagar Extension S.O, Ghaziabad"
2016,Maruti Celerio ZXI AT,"54,000",Petrol,Automatic,3.20,"Chattarpur, New Delhi"
2023,Toyota Land Cruiser 300 ZX,"42,000",Diesel,Automatic,2.30 Crore,"Patparganj, New Delhi"
2022,Renault Kiger RXZ AMT,"31,000",Petrol,Automatic,7.20,"Preet Vihar, New Delhi"
2021,Kia Seltos HTK Plus G,"17,000",Petrol,Manual,10.99,"Chittranjan Park, New Delhi"
2021,Nissan Magnite XV BSVI,"22,100",Petrol,Manual,6.49,"Chittranjan Park, New Delhi"
2022,BMW X1 sDrive20i xLine,"36,083",Petrol,Automatic,37,"Sector 21e, Gurgaon"
2022,Renault Kiger RXZ DT,"35,660",Petrol,Manual,6.62,Noida
2021,Mercedes-Benz GLE 450 BSVI,"34,100",Petrol,Automatic,82,"Tilak Nagar East, New Delhi"
2019,MG Hector Sharp DCT,"36,150",Petrol,Automatic,12.75,"Chittranjan Park, New Delhi"
2021,Tata Harrier XZ Plus BSVI,"25,000",Diesel,Manual,14.75,"Naraina, New Delhi"
2023,MG Hector Savvy Pro CVT,"18,000",Petrol,Automatic,19.75,"Vikas Puri, New Delhi"
2021,Kia Seltos HTK Plus G,"45,000",Petrol,Manual,10.90,"Preet Vihar, New Delhi"
2020,Hyundai Creta 1.6 EX Petrol,"52,000",Petrol,Manual,9.75,"Preet Vihar, New Delhi"
2023,Mercedes-Benz C-Class C 200 BSVI,"25,782",Petrol,Automatic,48,"Sector 21e, Gurgaon"
2024,Hyundai i20 Sportz IVT,"2,000",Petrol,Automatic,10.80,"Ashok Vihar, New Delhi"
2020,Mercedes-Benz AMG C43 4MATIC Coupe,"14,100",Petrol,Automatic,75,"Tilak Nagar East, New Delhi"
2019,Kia Seltos HTK G,"40,000",Petrol,Manual,8.90,"Preet Vihar, New Delhi"
2017,Maruti Swift VXI BSIV,"64,235",Petrol,Manual,4.14,"Rohini Courts, New Delhi"
2023,Hyundai Venue S 2023-2025,"12,000",Petrol,Manual,8.50,"Preet Vihar, New Delhi"
2023,Toyota Rumion V AT,"13,000",Petrol,Automatic,12.25,"Saraswati Vihar, New Delhi"
2023,Kia Seltos HTK G,"21,500",Petrol,Manual,11.70,"Ashok Vihar, New Delhi"
2021,BMW X3 xDrive 20d Luxury Line,"27,904",Diesel,Automatic,48,"Sector 21e, Gurgaon"
2018,Honda Amaze V Petrol BSIV,"46,000",Petrol,Manual,5.25,"Nehru Nagar, Ghaziabad"
2022,Mahindra Thar LX 4WD Hard Top AT BSVI,"26,000",Petrol,Automatic,13.50,"Vikas Puri, New Delhi"
2021,Kia Sonet HTX Turbo iMT,"30,188",Petrol,Automatic,8.12,"Sohna Road, Gurgaon"
2023,Mini Cooper SE Electric,"4,038",Electric,Automatic,41,"Sector 21e, Gurgaon"
2022,Tata Punch Adventure,"17,916",Petrol,Manual,5.89,"Sector 28, Gurgaon"
2024,Land Rover Defender 2.0 110 HSE,700,Petrol,Automatic,1.33 Crore,"Ashok Vihar, New Delhi"
2020,Kia Sonet HTX Turbo iMT BSVI,"19,000",Petrol,Manual,8.90,"Krishna Nagar, New Delhi"
2024,BMW X5 xDrive40i M Sport,"3,200",Petrol,Automatic,1.10 Crore,"Patparganj, New Delhi"
2018,Jeep Compass 1.4 Night Eagle,"68,000",Petrol,Automatic,7.75,"Sector 13, Faridabad"
2023,Renault Kiger RXT,"10,098",Petrol,Manual,6.25,Noida
2023,Porsche Cayenne Coupe V6 BSVI,"7,000",Petrol,Automatic,1.53 Crore,"Ashok Vihar, New Delhi"
2017,Mitsubishi Pajero Sport 4X2 AT,"78,000",Diesel,Automatic,9.95,"Karampura, New Delhi"
2022,Kia Seltos HTX IVT G,"27,000",Petrol,Automatic,13.95,Noida
2020,Maruti Baleno Delta,"48,000",Petrol,Manual,4.95,"Nehru Nagar, Ghaziabad"
2019,Mercedes-Benz GLC 220d 4MATIC,"44,000",Diesel,Automatic,36,Faridabad
2020,Kia Seltos GTX Plus DCT,"60,000",Petrol,Automatic,13.15,New Delhi
2022,Mercedes-Benz GLS Maybach 600 4MATIC BSVI,"23,000",Petrol,Automatic,2.75 Crore,"Ashok Vihar, New Delhi"
2019,Maruti Vitara Brezza VDi AMT,"66,000",Diesel,Automatic,6.45,"Ashok Vihar, New Delhi"
2021,Kia Seltos GTX Plus,"15,000",Petrol,Manual,15.50,"Vikas Puri, New Delhi"
2020,Mahindra Alturas G4 4X4 AT BSIV,"57,000",Diesel,Automatic,20,New Delhi
2022,Mercedes-Benz A-Class Limousine A 200d,"49,100",Diesel,Automatic,28.50,"Chittranjan Park, New Delhi"
