Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2016,Datsun RediGO 1.0 T Option Limited Edition,"55,000",Petrol,Manual,2.49,"Borivali West, Mumbai"
2016,Renault KWID 1.0 RXT,"42,736",Petrol,Manual,3.45,"West, Thane"
2022,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"4,947",Petrol,Manual,7.29,"Ghatkopar West, Mumbai"
2017,Tata Hexa XTA,"75,000",Diesel,Automatic,8.95,"Andheri East, Mumbai"
2018,Maruti Baleno 1.2 CVT Zeta,"57,000",Petrol,Automatic,5.75,"Kapad Bazar, Mumbai"
2015,Maruti Ciaz ZDi SHVS,"1,12,000",Diesel,Manual,5.45,"Antop Hill, Mumbai"
2022,Kia Seltos GTX Plus Diesel AT,"46,000",Diesel,Automatic,17.35,"Chembur, Mumbai"
2018,Maruti Swift AMT VXI,"43,000",Petrol,Automatic,5.75,Thane
2019,Hyundai i20 Magna 1.2,"38,809",Petrol,Manual,5.35,"Navi, Mumbai"
2021,BMW X5 xDrive 30d xLine,"47,000",Diesel,Automatic,69.50,"Khar Delivery, Mumbai"
2023,Mahindra XUV300 W6 Diesel,"18,347",Diesel,Manual,8.75,"West, Thane"
2012,Hyundai i10 Sportz,"71,000",Petrol,Manual,2.95,Thane
2015,Hyundai Xcent 1.2 Kappa Base,"38,001",Petrol,Manual,4,"Malad, Mumbai"
2022,Tata Tigor EV XZ Plus,"59,002",Electric,Automatic,7.25,"Matunga West, Mumbai"
2018,Honda WR-V i-VTEC S,"29,935",Petrol,Manual,5.50,"Borivali West, Mumbai"
2020,Mahindra Bolero B6 Opt BSVI,"1,70,000",Diesel,Manual,8.99,"West, Thane"
2018,Maruti Baleno 1.2 CVT Zeta,"66,002",Petrol,Automatic,5.85,"Kandivali West, Mumbai"
2013,Maruti Ertiga VXI,"53,438",Petrol,Manual,4.65,"Kandivali West, Mumbai"
2019,Maruti Vitara Brezza ZDi,"58,000",Diesel,Manual,8.95,Thane
2022,Maruti Alto 800 VXI,"2,853",Petrol,Manual,4.11,"West, Thane"
2022,Kia Seltos X-Line Diesel AT,"15,000",Diesel,Automatic,19,"Andheri, Mumbai"
2017,Hyundai Creta 1.6 CRDi AT SX Plus,"64,000",Diesel,Automatic,8.90,"West, Thane"
2017,Maruti Ertiga SHVS ZDI Plus,"62,637",Diesel,Manual,8.45,"Andheri East, Mumbai"
2022,Maruti Wagon R VXI 1.2,"10,441",Petrol,Manual,4.84,"Navi, Mumbai"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"24,000",Petrol,Automatic,9.45,"Jogeshwari West, Mumbai"
2018,Maruti Celerio VXI MT BSIV,"64,000",Petrol,Manual,3.80,"Vitthalwadi, Thane"
2021,Tata Harrier XZA Plus AT BSVI,"24,063",Diesel,Automatic,16.95,"Borivali West, Mumbai"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"45,270",Petrol,Automatic,8.75,"Malad West, Mumbai"
2023,Hyundai i20 Asta 1.2,"5,589",Petrol,Manual,9.42,"Dadar, Mumbai"
2013,Honda Brio V MT,"75,086",Petrol,Manual,2.35,"Navi, Mumbai"
2019,Volkswagen Ameo 1.0 MPI Comfortline,"35,100",Petrol,Manual,4.39,"Navi, Mumbai"
2021,Maruti Wagon R CNG LXI Opt,"20,000",CNG,Manual,5.55,"Mulund West, Mumbai"
2017,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"32,601",Petrol,Manual,4.37,"Kandivali East, Mumbai"
2019,Hyundai Santro Sportz CNG BSIV,"47,574",CNG,Manual,4.25,"Dadar, Mumbai"
2018,BMW 3 Series GT 320d Luxury Line,"41,557",Diesel,Automatic,28.28,"Ghatkopar West, Mumbai"
2019,Honda City V CVT,"23,000",Petrol,Automatic,8.25,"Goregaon (w), Mumbai"
2019,Kia Seltos GTX Plus DCT,"18,500",Petrol,Automatic,14.95,"Goregaon (w), Mumbai"
2020,Maruti Vitara Brezza ZXI,"29,003",Petrol,Manual,8.10,"Malad, Mumbai"
2019,Datsun RediGO 1.0 T Option Limited Edition,"24,000",Petrol,Manual,3.25,"Borivali West, Mumbai"
2020,Hyundai Grand i10 1.2 Kappa Sportz BSIV,"25,946",Petrol,Manual,4.98,"Kandivali East, Mumbai"
2021,Audi A6 45 TFSI Technology WO Matrix BSVI,"34,400",Petrol,Automatic,43.75,"Matunga West, Mumbai"
2018,Tata Nexon KRAZ Diesel,"54,200",Diesel,Manual,8.10,"Santacruz(west) S.o, Mumbai"
2022,Maruti Dzire ZXI CNG,"31,800",CNG,Manual,7.64,"West, Thane"
2019,Hyundai Santro Sportz CNG BSIV,"74,229",CNG,Manual,3.80,"Mulund West, Mumbai"
2022,Maruti XL6 Zeta,"28,993",Petrol,Manual,10.42,"Navi, Mumbai"
2014,Hyundai Xcent Petrol,"32,357",Petrol,Manual,3.99,"Kandivali East, Mumbai"
2021,Hyundai i20 Asta Opt BSVI,"9,519",Petrol,Manual,7.85,Thane
2018,Maruti Celerio ZXI AMT BSIV,"46,436",Petrol,Automatic,3.75,"Dadar, Mumbai"
2014,Maruti Swift VXI,"71,000",Petrol,Manual,3.65,"Mulund West, Mumbai"
2018,Maruti Swift VXI,"12,479",Petrol,Manual,5.49,"Navi, Mumbai"
2022,Hyundai Santro Sportz Executive CNG,"28,589",CNG,Manual,5.46,"Dadar, Mumbai"
2010,Toyota Corolla Altis G,"1,16,000",Petrol,Manual,2.75,"Borivali West, Mumbai"
2015,Maruti Wagon R VXI BS IV,"61,000",Petrol,Manual,3.25,"Ghatkopar East, Mumbai"
2019,Hyundai Creta 1.6 SX,"34,991",Petrol,Manual,10.89,"West, Thane"
2015,Renault Pulse RxL,"82,000",Diesel,Manual,2.99,"Ghatkopar East, Mumbai"
2016,Maruti Celerio ZXI AT,"46,000",Petrol,Automatic,3.25,"Andheri East, Mumbai"
2013,Hyundai i20 Asta 1.2,"25,000",Petrol,Manual,3.65,"Andheri West, Mumbai"
