Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2020,Maruti Alto 800 VXI,"31,823",Petrol,Manual,3.51,"Miyapur, Hyderabad"
2018,Hyundai Creta 1.6 E Plus,"91,362",Petrol,Manual,7.27,"Rangareddi, Hyderabad"
2015,Ford Ecosport 1.5 Ti VCT AT Titanium BSIV,"60,246",Petrol,Automatic,5.14,"Begumbazar, Hyderabad"
2018,Honda Jazz 1.2 V AT i VTEC,"71,549",Petrol,Automatic,5.56,"Begumbazar, Hyderabad"
2023,Hyundai i20 N-Line N6 iMT,"10,093",Petrol,Manual,8.78,"Uppal, Hyderabad"
2023,MG Hector Plus Sharp Diesel MT,"58,000",Diesel,Manual,16.20,"Uppal, Hyderabad"
2015,BMW 3 Series 320d Luxury Line,"98,000",Diesel,Automatic,13.95,"Banjara Hills, Hyderabad"
2022,Maruti Brezza Zxi Plus,"30,183",Petrol,Manual,11.40,"Kukatpally, Hyderabad"
2019,Mahindra XUV300 W6 BSIV,"63,434",Petrol,Manual,7.60,"Uppal, Hyderabad"
2019,Hyundai Creta 1.6 SX Option,"56,000",Petrol,Manual,9.95,"Banjara Hills, Hyderabad"
2021,Tata Nexon XZA Plus AMT Diesel BSVI,"64,789",Diesel,Automatic,11,"Nagole, Hyderabad"
2023,Maruti Wagon R ZXI Plus Dual Tone,"23,038",Petrol,Manual,6.82,"Uppal, Hyderabad"
2022,Renault KWID CLIMBER AMT BSVI,"4,159",Petrol,Automatic,5.14,"Begumbazar, Hyderabad"
2018,Renault KWID Climber 1.0 MT,"38,834",Petrol,Manual,3.82,"Miyapur, Hyderabad"
2016,Maruti Celerio ZXI AT,"48,000",Petrol,Automatic,4.25,Hyderabad
2023,Maruti Vitara Brezza ZXI Plus AT Dual Tone,"11,632",Petrol,Automatic,14.73,"Kukatpally, Hyderabad"
2010,Hyundai i20 Petrol Magna,"76,643",Petrol,Manual,2.22,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2022,Maruti Swift Dzire Tour S (O),"86,000",Petrol,Manual,5.70,"Yakutpura, Hyderabad"
2020,Mercedes-Benz AMG C 63 Coupe,"44,000",Petrol,Automatic,35.25,"Madhapur, Hyderabad"
2016,Maruti Alto 800 LXI,"88,371",Petrol,Manual,2.33,"Rangareddi, Hyderabad"
2014,Maruti Swift Dzire VXI,"57,521",Petrol,Manual,4.12,"Miyapur, Hyderabad"
2019,Toyota Innova Crysta 2.4 GX MT BSIV,"87,000",Diesel,Manual,21,"Uppal, Hyderabad"
2015,Hyundai i20 Sportz 1.4 CRDi,"1,23,000",Diesel,Manual,5,"Peerzadiguda, Hyderabad"
2011,Maruti Wagon R VXI 1.2,"51,860",Petrol,Manual,2.67,"Miyapur, Hyderabad"
2019,Maruti Swift VXI,"1,16,175",Petrol,Manual,4.67,"Uppal, Hyderabad"
2016,Maruti Celerio ZXI,"84,207",Petrol,Manual,3.20,"Nagole, Hyderabad"
2017,Hyundai Grand i10 1.2 Kappa Sportz Option,"96,013",Petrol,Manual,4.24,"Rangareddi, Hyderabad"
2018,Tata Tigor 1.2 Revotron XZ,"53,454",Petrol,Manual,5.22,"Miyapur, Hyderabad"
2022,Land Rover Defender 2.0 110 HSE,"47,824",Petrol,Automatic,1.10 Crore,"Madhapur, Hyderabad"
2021,Kia Seltos HTK,"55,661",Petrol,Manual,9.97,"Kukatpally, Hyderabad"
2021,Maruti Wagon R CNG LXI Opt,"39,734",CNG,Manual,5.80,"Madhapur, Hyderabad"
2019,Ford Aspire 1.2 Ti-VCT Titanium,"21,354",Petrol,Manual,6.22,"Uppal, Hyderabad"
2020,Mahindra XUV300 W8 Diesel,"66,555",Diesel,Manual,10.42,"Kukatpally, Hyderabad"
2010,Audi Q5 2.0 TDI,"99,200",Diesel,Automatic,9.50,"Somajiguda, Hyderabad"
2019,Hyundai Venue SX Plus Turbo DCT BSIV,"45,546",Petrol,Automatic,9.25,"Alwal, Hyderabad"
2018,Maruti Swift AMT VDI,"73,000",Diesel,Automatic,6.10,"Lb Nagar, Hyderabad"
