Year,Car Name,Mileage (kms),Fuel Type,Transmission,Price (Lakh),Location
2017,Maruti Baleno Alpha Diesel,"1,02,055",Diesel,Manual,5.76,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2021,Maruti Vitara Brezza VXI,"56,436",Petrol,Manual,8.50,"Nagol, Hyderabad"
2019,Renault Triber RXZ,"63,213",Petrol,Manual,5.51,"Miyapur, Hyderabad"
2021,Ford Freestyle Flair Edition Diesel,"61,531",Diesel,Manual,6.39,"Miyapur, Hyderabad"
2018,Maruti Ertiga BSIV ZXI,"42,000",Petrol,Manual,8.50,"Lb Nagar, Hyderabad"
2018,Maruti Alto 800 LXi,"48,577",Petrol,Manual,2.72,"Miyapur, Hyderabad"
2017,Renault KWID 1.0 RXT,"55,346",Petrol,Manual,3.95,"Gandhi Bhawan, Hyderabad"
2018,Nissan Micra XL CVT,"45,193",Petrol,Automatic,4.12,"Miyapur, Hyderabad"
2019,Toyota Glanza G,"1,20,647",Petrol,Manual,5.49,"Uppal, Hyderabad"
2022,Maruti Vitara Brezza ZXI Plus AT Dual Tone,"13,309",Petrol,Automatic,7.78,"Miyapur, Hyderabad"
2019,Mercedes-Benz GLA Class 200 d Style,"84,400",Diesel,Automatic,25,"Madhapur, Hyderabad"
2014,Maruti Celerio LXI,"88,445",Petrol,Manual,2.49,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2009,Hyundai Santro Xing GL,"82,747",Petrol,Manual,2.10,"Gandhi Bhawan, Hyderabad"
2019,Hyundai i20 Sportz Plus,"47,310",Petrol,Manual,6.87,"Miyapur, Hyderabad"
2014,Hyundai Grand i10 Sportz,"51,421",Petrol,Manual,3.31,"Rangareddi, Hyderabad"
2011,Hyundai i20 Asta 1.2,"1,36,609",Petrol,Manual,2.86,"Miyapur, Hyderabad"
2017,Maruti Swift Dzire AMT ZXI,"46,954",Petrol,Automatic,5.35,"Begumbazar, Hyderabad"
2015,Honda Jazz V,"68,321",Petrol,Manual,4.59,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2013,Hyundai Grand i10 CRDi Sportz,"75,979",Diesel,Manual,3.49,"Lb Nagar, Hyderabad"
2012,Honda Brio S MT,"1,04,895",Petrol,Manual,2.47,"Uppal, Hyderabad"
2018,Maruti S Cross Zeta DDiS 200 SH,"96,000",Diesel,Manual,8,"Peerzadiguda, Hyderabad"
2014,Hyundai Verna 1.6 VTVT SX,"43,449",Petrol,Manual,5.03,"Miyapur, Hyderabad"
2022,Land Rover Defender 110 HSE 2020-2022,"47,824",Petrol,Automatic,1.10 Crore,"Madhapur, Hyderabad"
2021,Hyundai Grand i10 1.2 Kappa Magna BSIV,"54,085",Petrol,Manual,5.67,"Miyapur, Hyderabad"
2012,Hyundai EON Magna,"56,752",Petrol,Manual,2.38,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2014,Hyundai Grand i10 Sportz,"82,530",Petrol,Manual,3.37,"Rangareddi, Hyderabad"
2017,Tata Hexa XMA,"1,08,758",Diesel,Automatic,7.90,"Nagole, Hyderabad"
2015,Hyundai Grand i10 1.2 Kappa Magna BSIV,"60,781",Petrol,Manual,3.68,"Uppal, Hyderabad"
2021,Hyundai Venue S,"72,700",Petrol,Manual,7.95,"Bowenpally, Hyderabad"
2018,Hyundai Creta 1.6 SX Automatic,"54,000",Petrol,Automatic,10.90,"Ramgopalpet, Hyderabad"
2016,Maruti Alto 800 VXI,"79,525",Petrol,Manual,2.41,"Dr.b R Ambedkar O.u S.o, Hyderabad"
2017,Maruti Swift VDI Optional,"82,300",Diesel,Manual,5.45,"Peerzadiguda, Hyderabad"
2017,Maruti Alto 800 LXi,"70,324",Petrol,Manual,2.69,"Miyapur, Hyderabad"
2022,Maruti XL6 Alpha AT,"51,719",Petrol,Automatic,11.90,"Kukatpally, Hyderabad"
2017,Honda City i VTEC SV,"73,635",Petrol,Manual,6.35,"Begumbazar, Hyderabad"
2015,Hyundai i20 Asta 1.2,"1,00,808",Petrol,Manual,4.84,"Uppal, Hyderabad"
2017,Hyundai i20 Asta 1.2,"45,205",Petrol,Manual,5.97,"Uppal, Hyderabad"
2014,Honda Amaze VX i-VTEC,"24,655",Petrol,Manual,5.06,"Miyapur, Hyderabad"
2020,BMW 2 Series 220d Sportline,"51,000",Diesel,Automatic,38,"Madhapur, Hyderabad"
2014,Audi Q7 3.0 TDI quattro,"1,20,000",Diesel,Automatic,14.25,"Dattatreya Colony, Hyderabad"
2017,Hyundai i10 Sportz 1.1L,"98,598",Petrol,Manual,4.80,"Musheerabad Dso, Hyderabad"
2020,Renault Triber RXZ,"73,538",Petrol,Manual,5.29,"Begumbazar, Hyderabad"
2009,Maruti Swift Dzire VDi,"88,012",Diesel,Manual,2.25,"Nagole, Hyderabad"
2021,Renault Triber RXZ Dual Tone,"14,022",Petrol,Manual,7.31,"Miyapur, Hyderabad"
2019,Hyundai Creta 1.6 SX,"45,000",Petrol,Manual,10.40,"Samskruthi S.O, Hyderabad"
2012,Honda City 1.5 S MT,"78,952",Petrol,Manual,3.38,"Miyapur, Hyderabad"
2015,Volkswagen Polo 1.5 TDI Comfortline,"60,664",Diesel,Manual,5.20,"Nagole, Hyderabad"
2015,Hyundai Grand i10 Magna,"75,397",Petrol,Manual,3.30,"Begumbazar, Hyderabad"
2018,Renault KWID 1.0 RXT Optional AT 2016-2019,"29,759",Petrol,Automatic,3.37,"Begumbazar, Hyderabad"
2017,Renault KWID RXL,"21,000",Petrol,Manual,3.11,"Miyapur, Hyderabad"
2020,Toyota Fortuner 2.8 2WD MT,"78,000",Diesel,Manual,36,"Lb Nagar, Hyderabad"
2019,Honda City i-VTEC VX,"1,33,089",Petrol,Manual,7.99,"Musheerabad Dso, Hyderabad"
2015,Hyundai Xcent Petrol,"73,497",Petrol,Manual,4.10,"Miyapur, Hyderabad"
2018,Mahindra TUV 300 T4 Plus,"1,42,000",Diesel,Manual,6,"Lb Nagar, Hyderabad"
2021,Honda City VX MT,"27,787",Petrol,Manual,11.60,"Kukatpally, Hyderabad"
2017,Maruti Ignis Zeta,"69,091",Petrol,Manual,4.50,"Miyapur, Hyderabad"
2016,Maruti S Cross Zeta,"42,136",Petrol,Manual,6.76,"Miyapur, Hyderabad"
2020,Mercedes-Benz C-Class Prime C 220d,"13,000",Diesel,Automatic,38.95,"Banjara Hills, Hyderabad"
2022,Kia Sonet 1.5 GTX Plus Diesel DT,"77,593",Diesel,Manual,10.36,"Begumbazar, Hyderabad"
2016,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,"2,20,000",Diesel,Manual,16.80,"Peerzadiguda, Hyderabad"
2018,Datsun RediGO 1.0 S,"34,488",Petrol,Manual,3.05,"Miyapur, Hyderabad"
2014,Maruti Celerio VXI,"49,883",Petrol,Manual,3.51,"Miyapur, Hyderabad"
2020,MG Hector Sharp Diesel MT BSIV,"50,000",Diesel,Manual,15,"Lb Nagar, Hyderabad"
2009,Maruti Wagon R LXI LPG,"78,000",LPG,Manual,2.20,"Lb Nagar, Hyderabad"
2019,Hyundai Santro Sportz BSIV,"64,927",Petrol,Manual,3.96,"Begumbazar, Hyderabad"
2019,Ford Freestyle Titanium,"42,265",Petrol,Manual,5.19,"Uppal, Hyderabad"
2014,Hyundai Xcent Petrol,"1,49,255",Petrol,Manual,3.86,"Uppal, Hyderabad"
2012,Hyundai Verna 1.6 VTVT SX,"61,555",Petrol,Manual,4.34,"Miyapur, Hyderabad"
2021,MG Hector Plus Select Diesel MT 7 STR,"35,000",Diesel,Manual,17,"Lb Nagar, Hyderabad"
2017,Hyundai i20 1.4 Asta,"71,609",Diesel,Manual,6.95,"Gandhi Bhawan, Hyderabad"
